platform,product_id,product_name,category,brand_name,review_count,avg_rating,n_negative,n_neutral,n_positive
oliveyoung,A000000159468,[잡티톤업/비타민C세럼] 닥터디퍼런트 CEQ 안티옥시던트 세럼 15ml,세럼,닥터디퍼런트,358,4.4525139664804465,17,47,294
oliveyoung,A000000159921,라로슈포제 시카플라스트 로션 B5 판테놀 시카에센스 토너 200ml,토너,라로슈포제,297,4.101010101010101,36,59,202
oliveyoung,A000000160796,[더블기획] 라운드랩 자작나무 수분 패드 더블 기획 (80매+80매),마스크팩,라운드랩,353,3.9688385269121813,85,27,241
oliveyoung,A000000160901,[1매] 넘버즈인 1번~5번 마스크팩 5종 중 택 1,마스크팩,넘버즈인,73,4.794520547945205,0,2,71
oliveyoung,A000000160902,[대용량] 메이크프렘 세이프 미 릴리프 모이스처 클렌징 밀크 500ml,클렌징,메이크프렘,309,4.58252427184466,6,14,289
oliveyoung,A000000161508,[대용량] 라운드랩 1025 독도 로션 400ml,스킨케어,라운드랩,368,3.869565217391304,108,2,258
oliveyoung,A000000161510,[단독기획] 마녀공장 허브 그린 클렌징오일 200ml (+약산성소다폼 20ml*2ea),클렌징오일,마녀공장,321,3.750778816199377,101,8,212
oliveyoung,A000000161581,[누적판매 1700만]스킨1004 마다가스카르 센텔라 앰플 55ml,세럼,스킨1004,342,3.8771929824561404,95,12,235
oliveyoung,A000000161681,[1등모공패드] 메디큐브 제로 모공 패드 2.0 70매,마스크팩,메디큐브,91,4.252747252747253,9,7,75
oliveyoung,A000000162037,[화잘먹패드] 웰라쥬 리얼 히알루로닉 블루 토너 패드 70매 기획 (+원데이키트1ea),토너,웰라쥬,338,4.260355029585799,26,73,239
oliveyoung,A000000162243,[수분쿨링] 라운드랩 자작나무 수분 선쿠션 15g,선크림,라운드랩,321,3.794392523364486,76,37,208
oliveyoung,A000000162279,[1등필링/화잘먹] 닥터지 브라이트닝 필링젤 기획 (120g+60g+히알시카세럼2ml/120g+120g+10g),세럼,닥터지,359,3.796657381615599,101,3,255
oliveyoung,A000000162370,[더블기획] 마녀공장 갈락 필링젤 대용량 120mlX2 더블 기획,클렌징,마녀공장,301,4.122923588039867,31,69,201
oliveyoung,A000000162700,[3회연속1등] 김정문알로에 큐어 쿨링 선스틱 23g [얼음자차],선크림,큐어,88,5.0,0,0,88
oliveyoung,A000000163444,[1+1] 아크웰 버블프리 클렌징 젤 160ml 기획,클렌징,아크웰,338,4.047337278106509,70,29,239
oliveyoung,A000000163503,[저자극/안심자차] 라운드랩 자작나무 무기자차 선크림 50ml 기획 (+클렌저20ml),선크림,라운드랩,319,3.7586206896551726,90,16,213
oliveyoung,A000000164845,[시카쿨링] AHC 세이프온 마일드 선 쿠션 25g,쿠션팩트,AHC,292,3.941780821917808,48,54,190
oliveyoung,A000000165177,[저자극/약산성] 라운드랩 1025 독도 클렌저 200ml+200ml,클렌징,라운드랩,245,4.522448979591837,10,29,206
oliveyoung,A000000165598,[더블기획/1+1] 토리든 다이브인 히알루론산 수딩 크림 더블기획 (100ml+100ml),스킨케어,토리든,368,3.8043478260869565,110,5,253
oliveyoung,A000000165704,[긴급진정] 라운드랩 소나무 진정 시카 마스크 10매,마스크팩,라운드랩,360,3.75,111,12,237
oliveyoung,A000000165797,[대용량/올영단독] 넘버즈인 1번 말끔 순삭 클렌징 오일 400ml 대용량,클렌징오일,넘버즈인,327,3.6788990825688073,102,7,218
